t,n,implementation,ttg,part_eval_ms,combine_ms,verify_ms
2,3,Modern Rust PAS-TA-U,BLS12-381,0.46054146,0.47433382,2.1841029466666666
2,3,Paper-style Rust PAS-TA-U,Shoup RSA-2048,2.4841777466666666,1.1632694666666665,0.08887123333333334
3,6,Modern Rust PAS-TA-U,BLS12-381,0.44085897333333335,0.6988615033333333,2.159282526666667
3,6,Paper-style Rust PAS-TA-U,Shoup RSA-2048,2.537508986666667,1.2845996899999998,0.09067697999999999
5,10,Modern Rust PAS-TA-U,BLS12-381,0.46087111,1.1952750266666665,2.209556683333333
5,10,Paper-style Rust PAS-TA-U,Shoup RSA-2048,2.4938619066666665,1.9152531466666667,0.09387079333333334
10,10,Modern Rust PAS-TA-U,BLS12-381,0.44346171333333334,2.4109760866666665,2.1718694000000003
10,10,Paper-style Rust PAS-TA-U,Shoup RSA-2048,2.49443465,3.4982653933333334,0.09031010666666665
