network,t,n,modern_ms,paper_style_ms,published_ms
lan4,2,3,5.947989596666667,19.559287243333333,22.8
lan4,3,6,6.4506987,19.698308989999997,25.1
lan4,5,10,7.156915296666667,23.322234296666668,28.2
lan4,10,10,9.695665620000002,38.07492202666666,32.5
wan80,2,3,86.27727606,100.48955948666666,109.5
wan80,3,6,86.02475486666667,101.75519103999999,112.4
wan80,5,10,85.14070604999999,104.15229233333335,115.8
wan80,10,10,90.19171940999999,115.37479984666666,119.9
