network,t,n,modern_ms,paper_style_ms,published_ms
lan4,2,3,25.53165156,54.78001942666667,65.3
lan4,3,6,26.30397723333333,55.45786383666667,74.4
lan4,5,10,29.056134556666663,66.36975475999999,82.7
lan4,10,10,31.743298166666666,99.07930593,95.1
wan80,2,3,339.98609622,377.23088918999997,325.5
wan80,3,6,339.16510708666664,378.7749810633333,333.1
wan80,5,10,341.85074771999996,388.58857266,346.9
wan80,10,10,345.34250785666666,416.83494804,357.6
