profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp wan80 6 3 100 100 95022031 96066293 97696035 98411619 96131104.990 729412.208
paper_style exp2 password_update_tcp wan80 6 3 100 100 360201459 362792940 366774698 371052851 362975510.550 1752073.917
