profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 6 3 100 100 2170723 2481637 2643262 2899382 2485697.640 104499.189
paper_style exp1 ttg_combine_t 6 3 100 100 1077698 1225011 1419612 1656424 1246726.290 85427.991
paper_style exp1 ttg_verify 6 3 100 100 88911 89862 102011 108803 91951.920 4049.122
paper_style exp1 token_generation_cpu 6 3 100 100 22835213 24140321 24736730 26919636 24141782.510 471723.716
paper_style exp1 password_update_cpu 6 3 100 100 52943381 55079409 57109191 62194778 55249384.890 1298300.118
