profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 6 3 100 100 2198153 2449288 2524993 2616008 2444843.390 62911.178
paper_style exp1 ttg_combine_t 6 3 100 100 1112440 1234738 1409862 1603463 1256190.290 82923.581
paper_style exp1 ttg_verify 6 3 100 100 86265 86451 93146 100981 87319.350 2239.116
paper_style exp1 token_generation_cpu 6 3 100 100 22994228 24080531 24783976 25106722 24057381.480 405127.615
paper_style exp1 password_update_cpu 6 3 100 100 53015877 54818006 55362198 55932048 54603857.160 606086.666
