profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp lan4 6 3 100 100 18843334 19776623 20726904 21452157 19797389.050 483885.434
paper_style exp2 password_update_tcp lan4 6 3 100 100 54464802 55973436 58111166 58428290 56071239.210 831790.264
