scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 6 3 100 100 611144 727359 933170 1467724 758472.290 110583.455
pastau proto reg 0 6 3 100 100 68516 78199 93693 103298 79198.620 7366.927
pastau proto auth 0 6 3 100 100 3055326 3213809 3656341 3988616 3277692.710 171864.202
pastau proto update 0 6 3 100 100 3417961 3647496 4433198 5227067 3736799.910 304933.031
pastau prim top_hash_to_point 0 0 0 100 100 5375 5648 5895 12092 5776.760 669.043
pastau prim top_encode 0 0 0 100 100 26501 26661 28213 35403 26969.490 1211.572
pastau prim top_eval_share 0 0 0 100 100 20939 21037 21213 27243 21120.070 627.797
pastau prim hash_hi_one 0 0 0 100 100 75 77 79 168 77.950 9.302
pastau prim aead_encrypt_sig 0 0 0 100 100 1100 1107 1115 1381 1110.260 27.581
pastau prim aead_decrypt_sig 0 0 0 100 100 1104 1111 1119 1166 1111.970 6.705
pastau prim aead_encrypt_update 0 0 0 100 100 1096 1105 1119 1143 1106.580 6.940
pastau prim aead_decrypt_update 0 0 0 100 100 1075 1089 1110 1122 1090.310 9.397
pastau prim ttg_hash_to_g1 0 0 0 100 100 194411 217164 229882 283645 215462.910 11360.613
pastau prim ttg_part_eval 0 0 0 100 100 424157 433640 449369 482548 435034.750 8951.851
pastau prim ttg_verify 0 0 0 100 100 2095899 2116807 2303169 3441754 2147251.540 140070.058
pastau prim top_combine_t 0 6 3 100 100 84708 84940 92234 96598 85945.810 2445.030
pastau prim hash_hi_all_n 0 6 3 100 100 392 398 415 436 402.620 9.315
pastau prim update_payload_encrypt_all_n 0 6 3 100 100 6569 6598 6992 7947 6654.320 173.953
pastau prim ttg_combine_t 0 6 3 100 100 687652 697622 779773 1205886 712063.870 61031.170
