scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 3 2 100 100 657155 724268 875896 953891 743634.580 66806.243
pastau proto reg 0 3 2 100 100 66845 69633 83416 196177 73400.990 15251.864
pastau proto auth 0 3 2 100 100 2643665 2909982 3245812 3276078 2940610.860 132728.839
pastau proto update 0 3 2 100 100 2901095 3142163 3651700 4004609 3202032.000 182421.721
pastau prim top_hash_to_point 0 0 0 100 100 5515 5567 6021 8724 5667.410 373.210
pastau prim top_encode 0 0 0 100 100 26670 26779 28423 35156 27150.030 1499.841
pastau prim top_eval_share 0 0 0 100 100 21087 21213 23717 30278 21686.330 1304.462
pastau prim hash_hi_one 0 0 0 100 100 74 77 87 155 78.060 8.490
pastau prim aead_encrypt_sig 0 0 0 100 100 1191 1201 1221 1231 1201.540 6.897
pastau prim aead_decrypt_sig 0 0 0 100 100 1108 1116 1124 1135 1116.240 4.907
pastau prim aead_encrypt_update 0 0 0 100 100 1096 1103 1112 1140 1104.170 5.448
pastau prim aead_decrypt_update 0 0 0 100 100 1077 1108 1355 15123 1301.450 1399.778
pastau prim ttg_hash_to_g1 0 0 0 100 100 215588 219784 258795 282317 227089.610 14638.476
pastau prim ttg_part_eval 0 0 0 100 100 396156 452424 598819 871535 478398.190 73169.290
pastau prim ttg_verify 0 0 0 100 100 1908127 2166125 2405779 2759453 2179952.290 111354.511
pastau prim top_combine_t 0 3 2 100 100 59261 60504 67125 75509 61692.430 2782.713
pastau prim hash_hi_all_n 0 3 2 100 100 212 215 232 264 217.050 6.948
pastau prim update_payload_encrypt_all_n 0 3 2 100 100 3062 3078 3093 3110 3078.300 7.753
pastau prim ttg_combine_t 0 3 2 100 100 457682 468943 484228 494838 469729.590 7144.939
