profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 10 10 100 100 2224076 2461201 2782479 4219975 2475663.770 209344.239
paper_style exp1 ttg_combine_t 10 10 100 100 3163300 3421461 3714273 3990012 3454156.450 134797.890
paper_style exp1 ttg_verify 10 10 100 100 82822 89631 110929 241007 93698.270 19074.241
paper_style exp1 token_generation_cpu 10 10 100 100 69216084 71506801 73030550 78222686 71524338.480 1367306.682
paper_style exp1 password_update_cpu 10 10 100 100 150366531 154785487 157078231 163381527 154692546.530 1811549.362
