scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 10 100 100 613902 680940 777076 1041499 685511.330 52302.437
pastau proto reg 0 10 10 100 100 90583 101227 114208 128989 101514.730 7324.331
pastau proto auth 0 10 10 100 100 5496710 5989551 6552043 6833781 6017742.620 277863.146
pastau proto update 0 10 10 100 100 5913596 6359571 6900243 7933717 6395082.110 246992.360
pastau prim top_hash_to_point 0 0 0 100 100 5575 5693 5748 7278 5712.150 222.864
pastau prim top_encode 0 0 0 100 100 26906 27062 29325 33373 27319.120 895.349
pastau prim top_eval_share 0 0 0 100 100 19410 20211 22698 28228 20500.830 1368.258
pastau prim hash_hi_one 0 0 0 100 100 69 70 72 147 71.010 7.855
pastau prim aead_encrypt_sig 0 0 0 100 100 1011 1018 1045 2072 1041.770 138.541
pastau prim aead_decrypt_sig 0 0 0 100 100 1030 1038 1046 1056 1038.090 4.025
pastau prim aead_encrypt_update 0 0 0 100 100 1028 1034 1047 1061 1035.130 6.119
pastau prim aead_decrypt_update 0 0 0 100 100 1008 1018 1054 2378 1045.480 175.516
pastau prim ttg_hash_to_g1 0 0 0 100 100 208933 219512 233626 304525 222041.100 11582.664
pastau prim ttg_part_eval 0 0 0 100 100 391309 434169 525358 832043 447844.650 65976.706
pastau prim ttg_verify 0 0 0 100 100 1968984 2158058 2316082 2532461 2169412.990 70043.074
pastau prim top_combine_t 0 10 10 100 100 198138 211115 253100 309039 216810.860 17135.200
pastau prim hash_hi_all_n 0 10 10 100 100 677 681 700 755 685.090 10.381
pastau prim update_payload_encrypt_all_n 0 10 10 100 100 11073 11116 11184 11295 11120.690 34.638
pastau prim ttg_combine_t 0 10 10 100 100 2168430 2299542 3197037 7945015 2470414.300 632717.220
