profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp3 ssh_sign_service lan4 10 5 100 100 37694817 39777194 44827034 48505144 40270634.550 1801172.907
paper_style exp3 ssh_handshake lan4 10 5 100 100 272150954 311205642 411312455 439838959 324876129.070 39338682.680
