scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 6 3 100 100 625372 716858 857846 1022445 733444.390 70628.125
pastau proto reg 0 6 3 100 100 80289 94816 132672 171021 97367.200 14463.628
pastau proto auth 0 6 3 100 100 3226536 3588029 4022127 4279203 3589709.780 218342.224
pastau proto update 0 6 3 100 100 3272322 3623302 4378260 5518195 3741498.390 329459.317
pastau prim top_hash_to_point 0 0 0 100 100 5579 5628 5958 7038 5660.070 163.115
pastau prim top_encode 0 0 0 100 100 26006 26128 26308 32392 26260.630 824.746
pastau prim top_eval_share 0 0 0 100 100 20638 21665 24858 37862 22367.810 2213.437
pastau prim hash_hi_one 0 0 0 100 100 75 77 79 164 78.070 9.333
pastau prim aead_encrypt_sig 0 0 0 100 100 1161 1191 1201 1235 1186.140 12.817
pastau prim aead_decrypt_sig 0 0 0 100 100 1076 1109 1154 2274 1147.970 196.586
pastau prim aead_encrypt_update 0 0 0 100 100 1072 1097 1109 1125 1093.500 11.639
pastau prim aead_decrypt_update 0 0 0 100 100 1051 1066 1087 1101 1067.190 9.133
pastau prim ttg_hash_to_g1 0 0 0 100 100 214189 216522 224086 235578 217772.810 3503.236
pastau prim ttg_part_eval 0 0 0 100 100 392570 432684 515863 628426 440077.380 36666.709
pastau prim ttg_verify 0 0 0 100 100 1904590 2135496 2410691 2739082 2137200.800 134466.963
pastau prim top_combine_t 0 6 3 100 100 83981 84259 91189 96178 85669.130 2543.498
pastau prim hash_hi_all_n 0 6 3 100 100 400 404 437 442 410.720 11.269
pastau prim update_payload_encrypt_all_n 0 6 3 100 100 6534 6575 6717 7771 6638.030 165.572
pastau prim ttg_combine_t 0 6 3 100 100 643864 694539 720206 748176 696603.550 12831.366
