profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 6 3 100 100 2551922 2651716 2836513 2953977 2681985.930 83352.167
paper_style exp1 ttg_combine_t 6 3 100 100 1220153 1296055 1602832 2121350 1350882.490 140083.876
paper_style exp1 ttg_verify 6 3 100 100 88561 89065 108689 121362 92759.670 6968.185
paper_style exp1 token_generation_cpu 6 3 100 100 23112923 24145916 25226749 25931013 24229871.230 504309.927
paper_style exp1 password_update_cpu 6 3 100 100 52979794 55578368 60215855 74438603 56193895.600 2580148.513
