profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 3 2 100 100 2286031 2469332 2638704 2736053 2473206.850 79170.754
paper_style exp1 ttg_combine_t 3 2 100 100 994005 1139836 1464258 1938540 1183967.390 146758.349
paper_style exp1 ttg_verify 3 2 100 100 84197 88684 95856 101271 89451.850 3091.707
paper_style exp1 token_generation_cpu 3 2 100 100 17768785 19100028 19521812 19699332 19015933.750 342900.789
paper_style exp1 password_update_cpu 3 2 100 100 43511981 45240379 46026028 46431774 45099836.960 634333.258
