profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
modern exp2 token_generation_tcp lan4 10 5 100 100 6635203 7090754 7676712 7921690 7129229.620 322332.501
modern exp2 password_update_tcp lan4 10 5 100 100 27115810 29244610 31343948 33879997 29314842.810 1200122.693
