scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 5 100 100 623388 747258 902603 1015376 758108.740 77625.640
pastau proto reg 0 10 5 100 100 73994 92784 131254 140062 96421.780 14545.218
pastau proto auth 0 10 5 100 100 3749322 4143161 4810020 5281524 4206426.160 312587.317
pastau proto update 0 10 5 100 100 4011406 4331478 4595139 4791035 4336932.010 128058.011
pastau prim top_hash_to_point 0 0 0 100 100 5514 5556 5658 86641 6378.910 8107.684
pastau prim top_encode 0 0 0 100 100 29848 32324 35666 40624 32017.960 2147.537
pastau prim top_eval_share 0 0 0 100 100 24621 26593 28734 33832 26399.870 1489.125
pastau prim hash_hi_one 0 0 0 100 100 71 73 74 162 73.760 9.051
pastau prim aead_encrypt_sig 0 0 0 100 100 1045 1052 1058 1093 1052.800 5.270
pastau prim aead_decrypt_sig 0 0 0 100 100 1046 1053 1063 1069 1053.850 4.368
pastau prim aead_encrypt_update 0 0 0 100 100 1046 1056 1064 1085 1056.660 6.563
pastau prim aead_decrypt_update 0 0 0 100 100 1021 1035 1054 1065 1036.550 8.650
pastau prim ttg_hash_to_g1 0 0 0 100 100 212910 222876 255862 284912 225949.620 13269.281
pastau prim ttg_part_eval 0 0 0 100 100 410134 464219 552063 978985 483504.240 81043.318
pastau prim ttg_verify 0 0 0 100 100 1993128 2202259 2325963 2490806 2205938.830 74164.431
pastau prim top_combine_t 0 10 5 100 100 124686 125302 140287 157278 127672.340 5014.531
pastau prim hash_hi_all_n 0 10 5 100 100 657 663 682 699 667.540 8.848
pastau prim update_payload_encrypt_all_n 0 10 5 100 100 12203 13037 14062 21330 13185.310 999.516
pastau prim ttg_combine_t 0 10 5 100 100 1076364 1179213 1429304 1506826 1204063.100 84444.264
