profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 10 5 100 100 2159533 2432867 2524343 2610494 2427484.950 63331.977
paper_style exp1 ttg_combine_t 10 5 100 100 1686118 1738086 1812905 2117115 1746575.940 49291.733
paper_style exp1 ttg_verify 10 5 100 100 86531 87121 93611 103279 87924.280 2406.070
paper_style exp1 token_generation_cpu 10 5 100 100 35940919 37550923 44025765 48893776 38489020.250 2344657.963
paper_style exp1 password_update_cpu 10 5 100 100 80041537 82723175 85500163 96008909 82940555.880 2019234.057
