scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 6 3 100 100 605355 698362 903337 1212337 729123.420 93994.315
pastau proto reg 0 6 3 100 100 68316 72281 77366 85288 72750.970 3829.838
pastau proto auth 0 6 3 100 100 2947770 3324983 3832446 4222659 3366552.380 216225.567
pastau proto update 0 6 3 100 100 3180635 3608573 4254073 5233307 3701364.130 322439.226
pastau prim top_hash_to_point 0 0 0 100 100 5503 5544 5592 11830 5614.030 630.115
pastau prim top_encode 0 0 0 100 100 26714 26838 27359 33610 26969.540 769.795
pastau prim top_eval_share 0 0 0 100 100 19392 21310 25415 61820 22399.890 4374.840
pastau prim hash_hi_one 0 0 0 100 100 75 77 80 166 78.170 9.437
pastau prim aead_encrypt_sig 0 0 0 100 100 1102 1111 1357 1425 1133.850 72.153
pastau prim aead_decrypt_sig 0 0 0 100 100 1105 1112 1118 1133 1112.070 4.466
pastau prim aead_encrypt_update 0 0 0 100 100 1103 1112 1132 1212 1113.890 12.813
pastau prim aead_decrypt_update 0 0 0 100 100 1077 1092 1108 1129 1092.760 8.218
pastau prim ttg_hash_to_g1 0 0 0 100 100 216228 218452 258129 343316 223641.140 16831.697
pastau prim ttg_part_eval 0 0 0 100 100 432753 439503 513764 580573 447464.790 27173.147
pastau prim ttg_verify 0 0 0 100 100 2001551 2151190 2255525 4053911 2193395.240 269021.618
pastau prim top_combine_t 0 6 3 100 100 84824 85085 92000 95935 85737.980 1949.662
pastau prim hash_hi_all_n 0 6 3 100 100 394 397 413 437 399.410 6.794
pastau prim update_payload_encrypt_all_n 0 6 3 100 100 6577 6612 6653 12653 6672.690 604.325
pastau prim ttg_combine_t 0 6 3 100 100 628210 690103 726370 874178 687917.090 39961.420
