scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 5 100 100 610312 685032 834055 957010 699305.160 60058.432
pastau proto reg 0 10 5 100 100 76703 79789 135433 397740 89324.380 34377.988
pastau proto auth 0 10 5 100 100 3524917 3905759 4509448 5659933 3983586.230 314445.654
pastau proto update 0 10 5 100 100 3877585 4257030 4805322 5065164 4291635.310 210174.748
pastau prim top_hash_to_point 0 0 0 100 100 5534 5588 5622 5671 5587.040 20.989
pastau prim top_encode 0 0 0 100 100 27104 27252 42530 146301 30244.500 12686.838
pastau prim top_eval_share 0 0 0 100 100 20261 20653 20751 28851 20630.630 850.216
pastau prim hash_hi_one 0 0 0 100 100 74 76 77 157 77.020 8.465
pastau prim aead_encrypt_sig 0 0 0 100 100 1005 1013 1022 1046 1013.870 5.384
pastau prim aead_decrypt_sig 0 0 0 100 100 1009 1018 1024 1030 1018.000 3.297
pastau prim aead_encrypt_update 0 0 0 100 100 1003 1010 1019 13119 1132.530 1210.801
pastau prim aead_decrypt_update 0 0 0 100 100 990 1001 1100 2023 1032.630 108.412
pastau prim ttg_hash_to_g1 0 0 0 100 100 196230 209220 268594 389200 216402.510 30759.742
pastau prim ttg_part_eval 0 0 0 100 100 410824 428047 674580 847931 457208.400 77501.473
pastau prim ttg_verify 0 0 0 100 100 1916493 2110675 2671143 3513543 2193433.300 234461.904
pastau prim top_combine_t 0 10 5 100 100 111407 120027 166844 487708 126993.230 40028.347
pastau prim hash_hi_all_n 0 10 5 100 100 646 651 675 688 656.530 9.849
pastau prim update_payload_encrypt_all_n 0 10 5 100 100 10577 10798 10856 13086 10793.990 269.191
pastau prim ttg_combine_t 0 10 5 100 100 1029883 1114796 1339850 2735834 1153722.300 223558.661
