profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp wan80 6 3 100 100 96058291 112723997 120873524 127044174 112481712.210 5344657.619
paper_style exp2 password_update_tcp wan80 6 3 100 100 361689648 415916990 439139642 443044387 410026444.260 21568198.927
