profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 3 2 100 100 2318359 2506583 2718123 2944198 2514659.070 109218.156
paper_style exp1 ttg_combine_t 3 2 100 100 1041913 1148603 1301277 1362315 1164281.720 62807.492
paper_style exp1 ttg_verify 3 2 100 100 82932 84396 96712 112429 86736.780 5442.275
paper_style exp1 token_generation_cpu 3 2 100 100 18392385 19363394 20110126 20933906 19366849.240 439147.635
paper_style exp1 password_update_cpu 3 2 100 100 43864320 45845338 47654095 49364154 45981381.480 863686.369
