profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 10 5 100 100 2127151 2421691 2660289 2801414 2412617.650 128469.061
paper_style exp1 ttg_combine_t 10 5 100 100 1547431 1763616 2096598 2301430 1789055.730 146533.964
paper_style exp1 ttg_verify 10 5 100 100 86883 90595 96988 118164 91802.000 3841.010
paper_style exp1 token_generation_cpu 10 5 100 100 35617166 38934249 43361279 44313502 39100884.490 2197096.750
paper_style exp1 password_update_cpu 10 5 100 100 81857094 86194264 96583723 106542900 87356268.600 4427326.012
