scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 10 100 100 631843 715389 890261 1293947 739604.630 102876.055
pastau proto reg 0 10 10 100 100 81896 96008 119875 129556 98476.350 10086.182
pastau proto auth 0 10 10 100 100 5350076 5615303 6652101 7182080 5776265.030 382518.345
pastau proto update 0 10 10 100 100 5986368 6219359 6411151 6643583 6222685.370 96613.020
pastau prim top_hash_to_point 0 0 0 100 100 5489 5534 5628 6687 5551.920 120.175
pastau prim top_encode 0 0 0 100 100 28241 28398 28615 35527 28564.720 970.847
pastau prim top_eval_share 0 0 0 100 100 22736 22870 24263 70857 23711.080 5199.200
pastau prim hash_hi_one 0 0 0 100 100 76 78 81 154 79.450 8.455
pastau prim aead_encrypt_sig 0 0 0 100 100 1103 1175 1193 14210 1289.890 1310.356
pastau prim aead_decrypt_sig 0 0 0 100 100 1105 1115 1189 1716 1145.660 81.051
pastau prim aead_encrypt_update 0 0 0 100 100 1123 1131 1159 10276 1287.790 1096.795
pastau prim aead_decrypt_update 0 0 0 100 100 1149 1225 1257 2322 1219.240 116.413
pastau prim ttg_hash_to_g1 0 0 0 100 100 198090 208639 235877 288659 212175.980 14776.496
pastau prim ttg_part_eval 0 0 0 100 100 396737 426425 450977 472314 424140.750 16258.887
pastau prim ttg_verify 0 0 0 100 100 1898827 2108950 2433930 3864005 2115497.990 221840.977
pastau prim top_combine_t 0 10 10 100 100 196457 207703 240973 324862 210915.450 18831.175
pastau prim hash_hi_all_n 0 10 10 100 100 621 626 654 667 631.580 11.249
pastau prim update_payload_encrypt_all_n 0 10 10 100 100 10625 10677 11113 18353 10827.220 838.533
pastau prim ttg_combine_t 0 10 10 100 100 2064505 2251642 2418118 2539045 2246648.660 88082.947
