profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp wan80 10 5 100 100 99062328 113322998 118748317 123144876 112798662.280 4083415.465
paper_style exp2 password_update_tcp wan80 10 5 100 100 372747045 425351837 441855209 473934393 419507615.690 20165644.018
