profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 10 10 100 100 2320023 2550373 2942428 3075730 2572633.440 148459.459
paper_style exp1 ttg_combine_t 10 10 100 100 3219939 3433775 3773238 4495026 3458054.700 157747.928
paper_style exp1 ttg_verify 10 10 100 100 83223 83542 95055 108260 85687.260 4274.299
paper_style exp1 token_generation_cpu 10 10 100 100 69086497 71710229 78337207 84186111 72642979.150 2869158.681
paper_style exp1 password_update_cpu 10 10 100 100 150977053 156638248 162633968 177165604 157130735.140 3507110.076
