profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
modern exp2 token_generation_tcp lan4 10 5 100 100 6711101 7205760 7947927 8140286 7283083.880 312789.793
modern exp2 password_update_tcp lan4 10 5 100 100 26968529 29068827 31228078 31973569 29144165.740 1144186.586
