scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 3 2 100 100 668272 757770 977000 1673921 790453.970 120059.118
pastau proto reg 0 3 2 100 100 74136 88375 110751 133763 90691.340 11025.467
pastau proto auth 0 3 2 100 100 2778594 3062551 3557331 3979233 3119842.120 236463.100
pastau proto update 0 3 2 100 100 2832396 3125481 3584419 3898620 3182881.370 197992.195
pastau prim top_hash_to_point 0 0 0 100 100 5512 5539 5570 5619 5540.720 15.876
pastau prim top_encode 0 0 0 100 100 26686 26855 32398 35844 27679.940 2001.446
pastau prim top_eval_share 0 0 0 100 100 21126 21257 21809 27761 21454.360 1002.170
pastau prim hash_hi_one 0 0 0 100 100 75 77 87 169 78.020 9.623
pastau prim aead_encrypt_sig 0 0 0 100 100 1097 1109 1133 6804 1167.450 569.446
pastau prim aead_decrypt_sig 0 0 0 100 100 1106 1114 1191 2263 1140.510 117.212
pastau prim aead_encrypt_update 0 0 0 100 100 1099 1146 1165 1211 1136.220 22.977
pastau prim aead_decrypt_update 0 0 0 100 100 1366 1399 1429 1445 1397.560 18.808
pastau prim ttg_hash_to_g1 0 0 0 100 100 216455 236936 297847 327754 245757.300 27759.390
pastau prim ttg_part_eval 0 0 0 100 100 396551 464113 596866 657727 478566.820 60109.310
pastau prim ttg_verify 0 0 0 100 100 1911956 2143822 2300489 2651197 2150061.850 98178.951
pastau prim top_combine_t 0 3 2 100 100 66322 67686 74534 89625 69212.100 3365.739
pastau prim hash_hi_all_n 0 3 2 100 100 189 192 209 226 194.530 6.900
pastau prim update_payload_encrypt_all_n 0 3 2 100 100 3002 3025 3051 5507 3051.060 248.496
pastau prim ttg_combine_t 0 3 2 100 100 419968 447156 530757 1161786 461500.150 78597.719
