scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 10 10 100 100 668549 793248 931269 1118659 791999.500 76514.683
pastau proto reg 0 10 10 100 100 92563 104902 123842 131523 106142.080 8646.614
pastau proto auth 0 10 10 100 100 5679216 6324923 7145121 7299394 6388847.810 395366.815
pastau proto update 0 10 10 100 100 6325499 6986438 7582470 8725974 6951205.050 409392.135
pastau prim top_hash_to_point 0 0 0 100 100 5851 5927 6058 73965 6640.000 6801.215
pastau prim top_encode 0 0 0 100 100 28499 28647 30776 59742 29295.650 3258.981
pastau prim top_eval_share 0 0 0 100 100 22582 22713 23056 30619 22810.070 796.260
pastau prim hash_hi_one 0 0 0 100 100 80 81 84 171 82.910 9.436
pastau prim aead_encrypt_sig 0 0 0 100 100 1167 1176 1186 1209 1176.910 5.337
pastau prim aead_decrypt_sig 0 0 0 100 100 1169 1177 1185 1202 1176.820 4.810
pastau prim aead_encrypt_update 0 0 0 100 100 1159 1172 1189 1215 1173.430 7.520
pastau prim aead_decrypt_update 0 0 0 100 100 1141 1154 1199 4918 1225.620 480.359
pastau prim ttg_hash_to_g1 0 0 0 100 100 228755 231075 245331 258505 233230.950 5293.635
pastau prim ttg_part_eval 0 0 0 100 100 440772 448339 481434 994292 458399.740 57437.543
pastau prim ttg_verify 0 0 0 100 100 2138485 2233749 2333774 2419784 2230697.220 60260.946
pastau prim top_combine_t 0 10 10 100 100 214763 219302 229548 246499 220189.890 4953.051
pastau prim hash_hi_all_n 0 10 10 100 100 667 673 690 729 675.720 8.398
pastau prim update_payload_encrypt_all_n 0 10 10 100 100 11380 11442 12165 22997 11678.860 1309.266
pastau prim ttg_combine_t 0 10 10 100 100 2321118 2517876 2695840 2741978 2515865.300 75519.895
