profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp wan80 10 10 100 100 110655913 118267745 127375187 128939679 118676619.930 5117765.438
paper_style exp2 password_update_tcp wan80 10 10 100 100 404271006 437381222 460832100 469746547 433453130.460 17868949.012
