profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
modern exp2 token_generation_tcp wan80 6 3 100 100 82508085 83028494 83941851 84234787 83109994.780 385636.795
modern exp2 password_update_tcp wan80 6 3 100 100 331179874 334337991 336534771 337585890 334261941.700 1305935.161
