profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 10 10 100 100 2189312 2459156 2530435 2603094 2435006.740 79070.500
paper_style exp1 ttg_combine_t 10 10 100 100 3126783 3475811 4314539 5622595 3582585.030 372563.320
paper_style exp1 ttg_verify 10 10 100 100 87325 89464 106484 111112 91544.790 5049.117
paper_style exp1 token_generation_cpu 10 10 100 100 67522554 69588305 71513734 72407975 69596824.810 910233.612
paper_style exp1 password_update_cpu 10 10 100 100 150123077 152536559 154597067 155135789 152492396.330 1176954.058
