profile experiment metric network n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp2 token_generation_tcp lan4 10 10 100 100 34063668 35427515 37584792 41379972 35713508.060 1048597.225
paper_style exp2 password_update_tcp lan4 10 10 100 100 93669326 96015268 99718175 103023798 96372109.580 1604490.329
