scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
pastau proto setup 0 3 2 100 100 656960 732083 881623 1180586 745679.730 75565.360
pastau proto reg 0 3 2 100 100 76257 86896 97448 148756 87434.630 8762.889
pastau proto auth 0 3 2 100 100 2654001 2921105 3395218 3922218 2993654.900 218400.451
pastau proto update 0 3 2 100 100 2864962 3160174 3585899 4038123 3207128.200 174977.990
pastau prim top_hash_to_point 0 0 0 100 100 5610 5659 5697 5750 5659.850 22.191
pastau prim top_encode 0 0 0 100 100 27124 27312 29527 33696 27697.720 983.291
pastau prim top_eval_share 0 0 0 100 100 21560 24598 37525 107531 26409.000 9888.897
pastau prim hash_hi_one 0 0 0 100 100 75 78 92 155 79.230 8.713
pastau prim aead_encrypt_sig 0 0 0 100 100 1118 1126 1134 1165 1126.490 5.571
pastau prim aead_decrypt_sig 0 0 0 100 100 1121 1133 1154 50704 1634.130 4956.576
pastau prim aead_encrypt_update 0 0 0 100 100 1113 1139 1275 2349 1183.860 169.503
pastau prim aead_decrypt_update 0 0 0 100 100 1092 1105 1128 1140 1106.910 8.977
pastau prim ttg_hash_to_g1 0 0 0 100 100 201526 220693 239762 250758 219677.780 9820.452
pastau prim ttg_part_eval 0 0 0 100 100 395177 422344 466013 609480 424659.370 35370.460
pastau prim ttg_verify 0 0 0 100 100 2038429 2170740 2514107 2700550 2222294.700 129987.359
pastau prim top_combine_t 0 3 2 100 100 64722 67498 80002 111487 69722.790 5882.724
pastau prim hash_hi_all_n 0 3 2 100 100 203 205 221 244 206.970 5.899
pastau prim update_payload_encrypt_all_n 0 3 2 100 100 3227 3248 3391 4448 3300.810 173.665
pastau prim ttg_combine_t 0 3 2 100 100 434479 476928 593389 690174 491771.720 45751.651
