profile experiment metric n t samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
paper_style exp1 ttg_part_eval 3 2 100 100 2219827 2448884 2693923 2831548 2464667.320 100648.847
paper_style exp1 ttg_combine_t 3 2 100 100 1081790 1131053 1270159 1339548 1141559.290 46355.241
paper_style exp1 ttg_verify 3 2 100 100 83251 88556 104219 179342 90425.070 10585.510
paper_style exp1 token_generation_cpu 3 2 100 100 17883833 18992232 19316165 21695818 18918190.430 443865.540
paper_style exp1 password_update_cpu 3 2 100 100 43076046 45133756 46667774 48813134 45122678.570 863771.412
